PLAYER,TEAM,AGE,GAMES_PLAYED,WINS,LOSES,MINUTES_PLAYED,POINTS,FIELD_GOALS,FIELD_GOALS_ATTEMPTS,FIELD_GOALS%,3POINTERS,3POINTERS_ATTEMPTS,3POINTERS%,FREE_THROWS,FREE_THROWS_ATTEMPTS,FREE_THROWS%,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,PERSONAL_FOULS,FANTASY_POINTS,DOUBLE_DOUBLES,TRIPLE_DOUBLES,+/-
Tyler Dorsey,DAL,27,3,2,1,8.3,1.09,0.48,0.61,80.0,0.12,0.24,50.0,0.00,0.00,0.0,0.12,0.12,0.24,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,0.24
Giannis Antetokounmpo,MIL,28,63,47,16,2023.6,0.97,0.35,0.63,55.3,0.02,0.08,27.5,0.25,0.38,64.5,0.07,0.30,0.37,0.18,0.12,0.03,0.03,0.10,1.71,46.00,6.00,0.17
Joel Embiid,PHI,29,66,43,23,2284.1,0.96,0.32,0.58,54.8,0.03,0.09,33.0,0.29,0.34,85.7,0.05,0.24,0.29,0.12,0.10,0.03,0.05,0.09,1.62,39.00,1.00,0.19
Stanley Umude,DET,24,1,0,1,2.1,0.94,0.00,0.47,0.0,0.00,0.47,0.0,0.94,0.94,100,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.00,3.78,0.00,0.00,1.42
Donovan Williams,ATL,21,2,1,1,4.3,0.94,0.47,1.18,40.0,0.00,0.47,0.0,0.00,0.00,0.0,0.00,0.47,0.47,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.00,1.41
Luka Doncic,DAL,24,66,33,33,2390.5,0.89,0.30,0.61,49.6,0.08,0.23,34.2,0.22,0.29,74.2,0.02,0.22,0.24,0.22,0.10,0.04,0.01,0.07,1.57,36.00,10.00,0.05
Damian Lillard,POR,32,58,27,31,2106.6,0.89,0.26,0.57,46.3,0.12,0.31,37.1,0.24,0.26,91.4,0.02,0.11,0.13,0.20,0.09,0.02,0.01,0.05,1.35,16.00,2.00,0.05
Shai Gilgeous-Alexander,OKC,24,68,33,35,2416.0,0.88,0.29,0.57,51.0,0.02,0.07,34.5,0.28,0.31,90.5,0.02,0.11,0.14,0.15,0.08,0.05,0.03,0.08,1.42,3.00,0.00,0.06
Stephen Curry,GSW,35,56,30,26,1941.2,0.85,0.29,0.58,49.3,0.14,0.33,42.7,0.13,0.14,91.5,0.02,0.16,0.18,0.18,0.09,0.03,0.01,0.06,1.35,12.00,1.00,0.14
Ja Morant,MEM,23,61,40,21,1948.3,0.82,0.29,0.62,46.6,0.05,0.15,30.7,0.19,0.26,74.8,0.03,0.15,0.18,0.25,0.11,0.03,0.01,0.05,1.44,20.00,7.00,0.16
Kevin Durant,PHX,34,47,34,13,1671.8,0.82,0.29,0.52,56.0,0.06,0.14,40.4,0.18,0.20,91.9,0.01,0.18,0.19,0.14,0.09,0.02,0.04,0.06,1.34,5.00,1.00,0.15
Jayson Tatum,BOS,25,74,52,22,2732.2,0.81,0.27,0.57,46.6,0.09,0.25,35.0,0.19,0.23,85.4,0.03,0.21,0.24,0.13,0.08,0.03,0.02,0.06,1.35,31.00,1.00,0.17
LeBron James,LAL,38,55,30,25,1953.9,0.81,0.31,0.62,50.0,0.06,0.19,32.1,0.13,0.17,76.8,0.03,0.20,0.23,0.19,0.09,0.03,0.02,0.05,1.42,18.00,2.00,0.11
Devin Booker,PHX,26,53,34,19,1835.4,0.80,0.29,0.58,49.4,0.06,0.17,35.1,0.17,0.20,85.5,0.03,0.11,0.13,0.16,0.08,0.03,0.01,0.09,1.23,5.00,0.00,0.13
Donovan Mitchell,CLE,26,68,44,24,2432.4,0.79,0.28,0.58,48.4,0.10,0.26,38.6,0.13,0.15,86.7,0.03,0.09,0.12,0.12,0.07,0.04,0.01,0.07,1.20,5.00,0.00,0.14
Zion Williamson,NOP,22,29,17,12,956.1,0.79,0.30,0.49,60.8,0.01,0.02,36.8,0.19,0.26,71.4,0.06,0.15,0.21,0.14,0.10,0.03,0.02,0.07,1.30,5.00,0.00,0.16
Anthony Davis,LAL,30,56,31,25,1904.5,0.76,0.28,0.51,56.3,0.01,0.04,25.7,0.18,0.23,78.4,0.10,0.27,0.37,0.08,0.06,0.03,0.06,0.08,1.53,40.00,0.00,0.11
Trae Young,ATL,24,73,38,35,2540.7,0.75,0.23,0.55,42.9,0.06,0.18,33.5,0.22,0.25,88.6,0.02,0.06,0.09,0.29,0.12,0.03,0.00,0.04,1.28,40.00,0.00,0.04
De'Aaron Fox,SAC,25,73,44,29,2435.2,0.75,0.28,0.55,51.2,0.05,0.15,32.4,0.14,0.18,78.0,0.02,0.11,0.13,0.18,0.07,0.03,0.01,0.07,1.23,11.00,0.00,0.07
Lauri Markkanen,UTA,25,66,32,34,2272.5,0.74,0.25,0.50,49.9,0.09,0.22,39.2,0.15,0.18,87.5,0.06,0.19,0.25,0.05,0.06,0.02,0.02,0.06,1.18,28.00,0.00,0.07
Luka Garza,MIN,24,28,15,13,243.4,0.74,0.26,0.48,54.3,0.06,0.16,35.9,0.17,0.21,78.8,0.14,0.12,0.26,0.07,0.06,0.01,0.01,0.18,1.17,0.00,0.00,0.07
Jaylen Brown,BOS,26,67,46,21,2404.9,0.74,0.28,0.58,49.1,0.07,0.20,33.5,0.11,0.14,76.5,0.03,0.16,0.19,0.10,0.08,0.03,0.01,0.07,1.16,13.00,0.00,0.11
Nikola Jokic,DEN,28,69,48,21,2323.0,0.73,0.28,0.44,63.2,0.02,0.06,38.3,0.15,0.18,82.2,0.07,0.28,0.35,0.29,0.11,0.04,0.02,0.07,1.65,58.00,29.00,0.28
Kyrie Irving,DAL,31,60,32,28,2240.6,0.72,0.27,0.54,49.4,0.08,0.22,37.9,0.11,0.12,90.5,0.03,0.11,0.14,0.15,0.06,0.03,0.02,0.07,1.20,5.00,0.00,0.10
Brandon Ingram,NOP,25,45,23,22,1538.1,0.72,0.26,0.54,48.4,0.04,0.11,39.0,0.16,0.18,88.2,0.01,0.14,0.16,0.17,0.10,0.02,0.01,0.08,1.17,6.00,2.00,0.06
Kristaps Porzingis,WAS,27,65,27,38,2119.5,0.71,0.24,0.48,49.8,0.06,0.17,38.5,0.17,0.20,85.1,0.05,0.20,0.26,0.08,0.06,0.03,0.05,0.09,1.30,20.00,0.00,0.04
Kawhi Leonard,LAC,31,52,33,19,1747.5,0.71,0.26,0.50,51.2,0.06,0.14,41.6,0.14,0.16,87.1,0.03,0.16,0.19,0.12,0.05,0.04,0.02,0.05,1.24,4.00,0.00,0.13
Julius Randle,NYK,28,77,44,33,2737.3,0.71,0.24,0.52,45.9,0.08,0.23,34.3,0.15,0.19,75.7,0.05,0.23,0.28,0.12,0.08,0.02,0.01,0.09,1.21,40.00,0.00,0.06
Louis King,PHI,24,1,1,0,28.8,0.69,0.28,0.45,61.5,0.14,0.28,50.0,0.00,0.03,0.0,0.07,0.07,0.14,0.07,0.07,0.03,0.00,0.14,1.00,0.00,0.00,0.07
Bradley Beal,WAS,29,50,24,26,1672.9,0.69,0.27,0.52,50.6,0.05,0.13,36.5,0.11,0.14,84.2,0.02,0.09,0.12,0.16,0.09,0.03,0.02,0.06,1.13,2.00,0.00,0.03
Zach LaVine,CHI,28,77,38,39,2767.9,0.69,0.24,0.50,48.5,0.07,0.20,37.5,0.13,0.15,84.8,0.02,0.11,0.12,0.12,0.07,0.02,0.01,0.06,1.04,2.00,0.00,0.01
Paul George,LAC,33,56,32,24,1938.9,0.69,0.24,0.52,45.7,0.08,0.22,37.1,0.13,0.15,87.1,0.02,0.15,0.18,0.15,0.09,0.04,0.01,0.08,1.19,8.00,1.00,0.08
Jalen Brunson,NYK,26,68,40,28,2378.7,0.69,0.25,0.50,49.1,0.06,0.14,41.6,0.14,0.16,82.9,0.02,0.08,0.10,0.18,0.06,0.03,0.01,0.06,1.11,5.00,0.00,0.06
Jimmy Butler,MIA,33,64,35,29,2138.0,0.69,0.22,0.42,53.9,0.02,0.05,35.0,0.22,0.26,85.0,0.07,0.11,0.18,0.16,0.05,0.05,0.01,0.04,1.28,11.00,0.00,0.02
Anthony Edwards,MIN,21,79,40,39,2841.5,0.68,0.25,0.54,45.9,0.07,0.20,36.9,0.11,0.15,75.6,0.02,0.14,0.16,0.12,0.09,0.04,0.02,0.07,1.17,9.00,0.00,0.03
Kenneth Lofton Jr.,MEM,20,24,15,9,176.0,0.68,0.28,0.53,52.7,0.03,0.10,35.3,0.09,0.15,59.3,0.11,0.18,0.29,0.11,0.07,0.03,0.01,0.16,1.25,1.00,0.00,-0.27
Jordan Poole,GSW,23,82,44,38,2458.1,0.68,0.22,0.52,43.0,0.09,0.26,33.6,0.15,0.17,87.0,0.01,0.08,0.09,0.15,0.10,0.03,0.01,0.09,1.02,1.00,0.00,0.00
DeMar DeRozan,CHI,33,74,37,37,2681.6,0.68,0.25,0.49,50.4,0.02,0.05,32.4,0.17,0.20,87.2,0.01,0.12,0.13,0.14,0.06,0.03,0.01,0.07,1.12,6.00,0.00,0.02
Desmond Bane,MEM,24,58,38,20,1841.5,0.68,0.24,0.51,47.9,0.09,0.22,40.8,0.10,0.11,88.3,0.02,0.13,0.16,0.14,0.07,0.03,0.01,0.08,1.13,1.00,0.00,0.19
Bojan Bogdanovic,DET,34,59,15,44,1892.9,0.67,0.23,0.47,48.8,0.08,0.19,41.1,0.14,0.16,88.4,0.02,0.10,0.12,0.08,0.07,0.02,0.00,0.06,0.93,0.00,0.00,-0.17
Keldon Johnson,SAS,23,63,17,46,2063.3,0.67,0.24,0.54,45.2,0.06,0.20,32.9,0.12,0.16,74.9,0.03,0.13,0.15,0.09,0.06,0.02,0.01,0.06,1.01,5.00,0.00,-0.24
Chris Silva,DAL,26,1,1,0,3.0,0.66,0.33,0.33,100,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.66,0.33,0.00,0.00,0.33
Klay Thompson,GSW,33,69,38,31,2278.9,0.66,0.24,0.55,43.6,0.13,0.32,41.2,0.05,0.06,87.9,0.02,0.11,0.13,0.07,0.05,0.02,0.01,0.06,0.97,2.00,0.00,0.07
LaMelo Ball,CHA,21,36,13,23,1267.8,0.66,0.23,0.57,41.1,0.11,0.30,37.6,0.08,0.10,84.3,0.03,0.15,0.18,0.24,0.10,0.04,0.01,0.09,1.27,17.00,3.00,-0.12
Jaren Jackson Jr.,MEM,23,63,41,22,1787.5,0.66,0.23,0.46,50.6,0.06,0.16,35.5,0.13,0.17,78.8,0.06,0.18,0.24,0.03,0.06,0.04,0.11,0.13,1.36,7.00,0.00,0.20
Norman Powell,LAC,29,60,31,29,1567.1,0.65,0.22,0.45,47.9,0.07,0.18,39.7,0.14,0.18,81.2,0.02,0.10,0.11,0.07,0.06,0.03,0.01,0.08,0.95,0.00,0.00,-0.08
Pascal Siakam,TOR,29,71,35,36,2652.0,0.65,0.24,0.50,48.0,0.04,0.11,32.4,0.14,0.18,77.4,0.05,0.16,0.21,0.16,0.06,0.02,0.01,0.09,1.19,24.00,2.00,0.05
Jalen Green,HOU,21,76,20,56,2602.2,0.65,0.22,0.52,41.6,0.07,0.21,33.8,0.14,0.18,78.6,0.02,0.09,0.11,0.11,0.08,0.02,0.01,0.05,0.95,0.00,0.00,-0.17
Christian Wood,DAL,27,67,33,34,1738.4,0.64,0.23,0.44,51.5,0.06,0.16,37.6,0.12,0.16,77.2,0.05,0.23,0.28,0.07,0.07,0.02,0.04,0.10,1.19,12.00,0.00,-0.03
Jordan Clarkson,UTA,30,61,30,31,1988.3,0.64,0.23,0.52,44.4,0.08,0.23,33.8,0.10,0.12,81.6,0.04,0.09,0.12,0.14,0.09,0.02,0.01,0.06,0.97,3.00,0.00,0.02
Cam Thomas,BKN,21,57,30,27,947.6,0.64,0.21,0.48,44.1,0.05,0.14,38.3,0.16,0.18,86.8,0.01,0.09,0.10,0.08,0.07,0.02,0.01,0.06,0.90,0.00,0.00,0.00
Karl-Anthony Towns,MIN,27,29,15,14,957.0,0.63,0.22,0.45,49.5,0.06,0.17,36.6,0.12,0.14,87.4,0.05,0.20,0.25,0.15,0.09,0.02,0.02,0.12,1.17,9.00,0.00,0.04
Kelly Oubre Jr.,CHA,27,48,16,32,1547.5,0.63,0.23,0.53,43.1,0.07,0.22,31.9,0.10,0.13,76.0,0.04,0.12,0.16,0.03,0.04,0.04,0.01,0.09,1.00,3.00,0.00,-0.18
Naz Reid,MIN,23,68,32,36,1250.9,0.62,0.25,0.46,53.7,0.06,0.17,34.6,0.07,0.10,67.7,0.06,0.21,0.27,0.06,0.07,0.03,0.04,0.14,1.19,4.00,0.00,-0.10
Khris Middleton,MIL,31,33,25,8,800.8,0.62,0.22,0.51,43.6,0.06,0.20,31.5,0.11,0.13,90.2,0.03,0.14,0.17,0.20,0.09,0.03,0.01,0.08,1.15,4.00,0.00,0.16
Duane Washington Jr.,NYK,23,31,17,14,393.8,0.62,0.24,0.65,36.7,0.10,0.28,36.0,0.04,0.06,66.7,0.01,0.09,0.09,0.16,0.09,0.02,0.01,0.06,0.96,0.00,0.00,-0.02
Tyrese Haliburton,IND,23,56,28,28,1882.9,0.62,0.22,0.45,49.0,0.09,0.21,40.0,0.09,0.11,87.1,0.02,0.09,0.11,0.31,0.07,0.05,0.01,0.04,1.32,32.00,0.00,-0.02
Myles Turner,IND,27,62,29,33,1825.2,0.61,0.22,0.40,54.8,0.05,0.14,37.3,0.12,0.15,78.3,0.05,0.21,0.26,0.05,0.06,0.02,0.08,0.12,1.22,18.00,0.00,-0.03
Darius Garland,CLE,23,69,40,29,2447.2,0.61,0.21,0.46,46.2,0.07,0.17,41.0,0.11,0.13,86.3,0.01,0.06,0.08,0.22,0.08,0.03,0.00,0.06,1.06,18.00,0.00,0.18
Mac McClung,PHI,24,2,2,0,41.1,0.61,0.22,0.49,45.0,0.10,0.27,36.4,0.07,0.12,60.0,0.07,0.17,0.24,0.22,0.07,0.00,0.00,0.07,1.16,0.00,0.00,0.44
Jamal Murray,DEN,26,65,43,22,2133.4,0.61,0.22,0.49,45.4,0.08,0.20,39.8,0.08,0.10,83.3,0.02,0.10,0.12,0.19,0.07,0.03,0.01,0.05,1.08,5.00,1.00,0.14
Bones Hyland,LAC,22,56,36,20,1085.5,0.61,0.21,0.53,39.9,0.11,0.29,37.1,0.08,0.09,84.3,0.02,0.11,0.12,0.16,0.08,0.04,0.01,0.09,1.07,1.00,0.00,-0.12
Kyle Kuzma,WAS,27,64,29,35,2238.9,0.61,0.23,0.51,44.8,0.07,0.21,33.3,0.08,0.11,73.0,0.02,0.18,0.21,0.11,0.08,0.02,0.01,0.06,1.02,14.00,1.00,0.00
Malik Monk,SAC,25,77,47,30,1719.2,0.61,0.21,0.46,44.8,0.08,0.23,35.9,0.11,0.12,88.9,0.02,0.10,0.12,0.17,0.08,0.03,0.01,0.07,1.04,0.00,0.00,0.04
Tyrese Maxey,PHI,22,60,39,21,2015.8,0.60,0.22,0.45,48.1,0.08,0.18,43.4,0.09,0.11,84.5,0.01,0.08,0.09,0.11,0.04,0.02,0.00,0.07,0.91,0.00,0.00,0.12
Anfernee Simons,POR,23,62,27,35,2170.7,0.60,0.22,0.48,44.7,0.10,0.26,37.7,0.07,0.08,89.4,0.01,0.07,0.07,0.12,0.06,0.02,0.01,0.07,0.88,0.00,0.00,-0.03
Michael Porter Jr.,DEN,24,62,41,21,1797.9,0.60,0.22,0.45,48.7,0.10,0.25,41.4,0.05,0.07,80.0,0.04,0.15,0.19,0.04,0.04,0.02,0.02,0.07,0.95,3.00,0.00,0.23
Darius Days,HOU,23,4,0,4,25.0,0.60,0.20,0.48,41.7,0.12,0.40,30.0,0.08,0.08,100,0.04,0.20,0.24,0.04,0.00,0.00,0.04,0.08,1.07,0.00,0.00,0.04
Terry Rozier,CHA,29,63,19,44,2220.9,0.60,0.22,0.53,41.5,0.07,0.23,32.7,0.08,0.10,80.9,0.02,0.09,0.12,0.14,0.06,0.03,0.01,0.05,1.02,1.00,0.00,-0.13
Collin Sexton,UTA,24,48,24,24,1145.2,0.60,0.21,0.41,50.6,0.04,0.11,39.3,0.14,0.17,81.9,0.03,0.06,0.09,0.12,0.07,0.02,0.01,0.10,0.90,1.00,0.00,-0.02
Cade Cunningham,DET,21,12,3,9,400.2,0.60,0.23,0.56,41.5,0.04,0.15,27.9,0.09,0.11,83.7,0.03,0.15,0.18,0.18,0.10,0.02,0.02,0.08,1.12,3.00,0.00,-0.15
Devin Vassell,SAS,22,38,12,26,1178.1,0.60,0.22,0.51,43.9,0.09,0.23,38.7,0.07,0.08,78.0,0.01,0.12,0.13,0.12,0.05,0.04,0.01,0.05,1.03,0.00,0.00,-0.25
Boban Marjanovic,HOU,34,31,7,24,171.1,0.60,0.24,0.35,68.3,0.00,0.01,0.0,0.12,0.16,74.1,0.12,0.23,0.35,0.05,0.08,0.03,0.01,0.06,1.14,0.00,0.00,0.39
Jaden Hardy,DAL,20,48,20,28,708.4,0.59,0.21,0.47,43.8,0.09,0.22,40.4,0.09,0.11,82.3,0.02,0.11,0.13,0.09,0.06,0.02,0.01,0.09,0.92,0.00,0.00,-0.05
CJ McCollum,NOP,31,75,38,37,2649.2,0.59,0.22,0.51,43.7,0.08,0.20,38.9,0.07,0.09,76.9,0.02,0.10,0.12,0.16,0.07,0.03,0.01,0.06,1.04,6.00,0.00,0.02
Paolo Banchero,ORL,20,72,31,41,2429.7,0.59,0.20,0.46,42.7,0.03,0.12,29.8,0.16,0.22,73.8,0.03,0.17,0.20,0.11,0.08,0.02,0.02,0.07,1.04,14.00,0.00,-0.09
Deandre Ayton,PHX,24,67,36,31,2035.3,0.59,0.26,0.44,58.9,0.00,0.01,29.2,0.07,0.10,76.0,0.08,0.24,0.33,0.06,0.06,0.02,0.03,0.09,1.14,36.00,0.00,0.00
Jrue Holiday,MIL,32,67,50,17,2182.5,0.59,0.22,0.47,47.9,0.07,0.19,38.4,0.07,0.08,85.9,0.04,0.12,0.16,0.23,0.09,0.04,0.01,0.05,1.17,16.00,0.00,0.22
Bam Adebayo,MIA,25,75,40,35,2598.0,0.59,0.23,0.43,54.0,0.00,0.00,8.3,0.12,0.15,80.6,0.07,0.19,0.26,0.09,0.07,0.03,0.02,0.08,1.14,31.00,0.00,0.05
Bennedict Mathurin,IND,20,78,33,45,2222.4,0.59,0.19,0.43,43.4,0.04,0.14,32.3,0.17,0.20,82.8,0.04,0.10,0.14,0.05,0.07,0.02,0.01,0.07,0.85,0.00,0.00,-0.08
Alec Burks,DET,31,51,12,39,1122.4,0.58,0.18,0.41,43.6,0.09,0.21,41.4,0.14,0.17,81.4,0.02,0.12,0.14,0.10,0.05,0.03,0.01,0.09,0.97,0.00,0.00,-0.01
RJ Barrett,NYK,22,73,40,33,2475.5,0.58,0.21,0.48,43.4,0.05,0.16,31.0,0.12,0.16,74.0,0.02,0.12,0.15,0.08,0.07,0.01,0.01,0.07,0.87,3.00,0.00,-0.03
Lindell Wigginton,MIL,25,7,4,3,86.7,0.58,0.21,0.43,48.6,0.07,0.21,33.3,0.09,0.10,88.9,0.00,0.08,0.08,0.16,0.14,0.00,0.02,0.08,0.85,1.00,0.00,-0.45
Tyler Herro,MIA,23,67,37,30,2335.4,0.58,0.21,0.47,43.9,0.09,0.23,37.8,0.07,0.08,93.4,0.01,0.14,0.15,0.12,0.07,0.02,0.01,0.04,0.96,6.00,1.00,0.07
Brandon Boston Jr.,LAC,21,22,9,13,248.3,0.58,0.21,0.49,41.8,0.05,0.12,41.4,0.12,0.15,76.3,0.03,0.09,0.12,0.08,0.05,0.04,0.00,0.08,0.90,0.00,0.00,-0.18
Jerami Grant,POR,29,63,28,35,2245.5,0.57,0.19,0.41,47.5,0.06,0.16,40.1,0.12,0.15,81.3,0.02,0.10,0.13,0.07,0.05,0.02,0.02,0.07,0.91,2.00,0.00,-0.02
Malcolm Brogdon,BOS,30,67,46,21,1743.8,0.57,0.20,0.42,48.4,0.08,0.17,44.4,0.09,0.11,87.0,0.02,0.14,0.16,0.14,0.06,0.03,0.01,0.06,1.03,0.00,0.00,0.10
Willy Hernangomez,NOP,28,38,23,15,457.7,0.57,0.19,0.37,52.7,0.01,0.02,27.3,0.18,0.23,77.9,0.13,0.27,0.39,0.07,0.09,0.04,0.03,0.14,1.26,2.00,0.00,0.04
James Harden,PHI,33,58,39,19,2135.0,0.57,0.17,0.39,44.1,0.08,0.20,38.5,0.15,0.17,86.7,0.02,0.15,0.17,0.29,0.09,0.03,0.01,0.05,1.25,36.00,5.00,0.13
