PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
A.J. Lawson,DAL,22,6-6,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted
AJ Green,MIL,23,6-5,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted
AJ Griffin,ATL,19,6-6,220,Duke,USA,2022,1,16
Aaron Gordon,DEN,27,6-8,235,Arizona,USA,2014,1,4
Aaron Holiday,ATL,26,6-0,185,UCLA,USA,2018,1,23
Aaron Nesmith,IND,23,6-5,215,Vanderbilt,USA,2020,1,14
Aaron Wiggins,OKC,24,6-5,190,Maryland,USA,2021,2,55
Admiral Schofield,ORL,26,6-5,241,Tennessee,United Kingdom,2019,2,42
Al Horford,BOS,36,6-9,240,Florida,Dominican Republic,2007,1,3
Alec Burks,DET,31,6-6,214,Colorado,USA,2011,1,12
Aleksej Pokusevski,OKC,21,7-0,210,None,Serbia,2020,1,17
Alex Caruso,CHI,29,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted
Alex Len,SAC,29,7-2,250,Maryland,Ukraine,2013,1,5
Alize Johnson,SAS,27,6-8,212,Missouri State,USA,2018,2,50
Alondes Williams,BKN,23,6-4,210,Wake Forest,USA,Undrafted,Undrafted,Undrafted
Alperen Sengun,HOU,20,6-11,243,None,Turkey,2021,1,16
Amir Coffey,LAC,25,6-7,210,Minnesota,USA,Undrafted,Undrafted,Undrafted
Andre Drummond,CHI,29,6-11,279,Connecticut,USA,2012,1,9
Andre Iguodala,GSW,39,6-6,215,Arizona,USA,2004,1,9
Andrew Nembhard,IND,23,6-3,191,Gonzaga,Canada,2022,2,31
Andrew Wiggins,GSW,28,6-7,197,Kansas,Canada,2014,1,1
Anfernee Simons,POR,23,6-3,181,None,USA,2018,1,24
Anthony Davis,LAL,30,6-10,253,Kentucky,USA,2012,1,1
Anthony Edwards,MIN,21,6-4,225,Georgia,USA,2020,1,1
Anthony Gill,WAS,30,6-8,230,Virginia,USA,Undrafted,Undrafted,Undrafted
Anthony Lamb,GSW,25,6-6,227,Vermont,USA,Undrafted,Undrafted,Undrafted
Austin Reaves,LAL,24,6-5,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted
Austin Rivers,MIN,30,6-4,200,Duke,USA,2012,1,10
Ayo Dosunmu,CHI,23,6-5,200,Illinois,USA,2021,2,38
Bam Adebayo,MIA,25,6-9,255,Kentucky,USA,2017,1,14
Ben Simmons,BKN,26,6-10,240,Louisiana State,Australia,2016,1,1
Bennedict Mathurin,IND,20,6-5,210,Arizona,Canada,2022,1,6
Bismack Biyombo,PHX,30,6-8,255,None,DRC,2011,1,7
Blake Griffin,BOS,34,6-9,250,Oklahoma,USA,2009,1,1
Blake Wesley,SAS,20,6-4,185,Notre Dame,USA,2022,1,25
Boban Marjanovic,HOU,34,7-4,290,None,Serbia,Undrafted,Undrafted,Undrafted
Bobby Portis,MIL,28,6-11,250,Arkansas,USA,2015,1,22
Bogdan Bogdanovic,ATL,30,6-5,225,None,Serbia,2014,1,27
Bojan Bogdanovic,DET,34,6-7,226,None,Croatia,2011,2,31
Bol Bol,ORL,23,7-2,220,Oregon,Sudan,2019,2,44
Bones Hyland,LAC,22,6-2,169,Virginia Commonwealth,USA,2021,1,26
Bradley Beal,WAS,29,6-4,207,Florida,USA,2012,1,3
Brandon Boston Jr.,LAC,21,6-6,188,Kentucky,USA,2021,2,51
Brandon Clarke,MEM,26,6-8,215,Gonzaga,Canada,2019,1,21
Brandon Ingram,NOP,25,6-8,190,Duke,USA,2016,1,2
Braxton Key,DET,26,6-8,225,Virginia,USA,Undrafted,Undrafted,Undrafted
Brook Lopez,MIL,35,7-1,282,Stanford,USA,2008,1,10
Bruce Brown,DEN,26,6-4,202,Miami,USA,2018,2,42
Bruno Fernando,ATL,24,6-10,240,Maryland,Angola,2019,2,34
Bryce McGowens,CHA,20,6-6,175,Nebraska,USA,2022,2,40
Bryn Forbes,MIN,29,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted
Buddy Boeheim,DET,23,6-6,205,Syracuse,USA,Undrafted,Undrafted,Undrafted
Buddy Hield,IND,30,6-4,220,Oklahoma,Bahamas,2016,1,6
CJ McCollum,NOP,31,6-3,190,Lehigh,USA,2013,1,10
Cade Cunningham,DET,21,6-7,220,Oklahoma State,USA,2021,1,1
Caleb Houstan,ORL,20,6-8,205,Michigan,Canada,2022,2,32
Caleb Martin,MIA,27,6-5,205,Nevada,USA,Undrafted,Undrafted,Undrafted
Cam Reddish,POR,23,6-7,217,Duke,USA,2019,1,10
Cam Thomas,BKN,21,6-3,210,Louisiana State,Japan,2021,1,27
Cameron Johnson,BKN,27,6-8,210,North Carolina,USA,2019,1,11
Cameron Payne,PHX,28,6-1,183,Murray State,USA,2015,1,14
Caris LeVert,CLE,28,6-6,205,Michigan,USA,2016,1,20
