PLAYER,TEAM,AGE,LT8FT_FIELD_GOALS,LT8FT_FIELD_GOALS_ATTEMPTS,LT8FT_FIELD_GOALS%,8-16FT_FIELD_GOALS,8-16FT_FIELD_GOALS_ATTEMPTS,8-16FT_FIELD_GOALS%,16-24FT_FIELD_GOALS,16-24FT_FIELD_GOALS_ATTEMPTS,16-24FT_FIELD_GOALS%,24+FT_FIELD_GOALS,24+FT_FIELD_GOALS_ATTEMPTS,24+FT_FIELD_GOALS%,BACKCOURT_FIELD_GOALS,BACKCOURT_FIELD_GOALS_ATTEMPTS,BACKCOURT_FIELD_GOALS%
A.J. Lawson,DAL,22,12,19,63.2,0,0,0.0,0,0,0.0,10,25,40.0,0,0,0.0
AJ Green,MIL,23,3,7,42.9,2,4,50.0,4,9,44.4,44,105,41.9,0,0,0.0
AJ Griffin,ATL,19,68,114,59.6,64,120,53.3,15,40,37.5,101,259,39.0,0,0,0.0
Aaron Gordon,DEN,27,340,499,68.1,19,62,30.6,10,27,37.0,60,169,35.5,0,4,0.0
Aaron Holiday,ATL,26,37,79,46.8,10,36,27.8,9,17,52.9,36,88,40.9,0,0,0.0
Aaron Nesmith,IND,23,113,219,51.6,20,45,44.4,4,12,33.3,115,314,36.6,0,0,0.0
Aaron Wiggins,OKC,24,134,229,58.5,4,11,36.4,0,1,0.0,48,121,39.7,0,1,0.0
Admiral Schofield,ORL,26,31,46,67.4,0,2,0.0,0,0,0.0,24,74,32.4,0,0,0.0
Al Horford,BOS,36,69,111,62.2,12,33,36.4,3,11,27.3,144,324,44.4,0,0,0.0
Alec Burks,DET,31,42,84,50.0,37,79,46.8,23,58,39.7,98,238,41.2,0,0,0.0
Aleksej Pokusevski,OKC,21,60,116,51.7,8,23,34.8,2,6,33.3,38,104,36.5,0,0,0.0
Alex Caruso,CHI,29,67,111,60.4,6,19,31.6,3,6,50.0,54,150,36.0,0,0,0.0
Alex Len,SAC,29,14,22,63.6,2,4,50.0,0,2,0.0,0,2,0.0,0,0,0.0
