#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Kobe Bryant,LAL,80,41.0,35.4,12.2,27.2,0.45,2.3,6.5,0.347,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9
2,Allen Iverson,PHI,72,43.1,33.0,11.3,25.3,0.447,1.0,3.1,0.323,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7
3,LeBron James,CLE,79,42.5,31.4,11.1,23.1,0.48,1.6,4.8,0.335,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3
4,Gilbert Arenas,WAS,80,42.3,29.3,9.3,20.9,0.447,2.5,6.8,0.369,8.2,10.0,0.82,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6
5,Dwyane Wade,MIA,75,38.6,27.2,9.3,18.8,0.495,0.2,1.0,0.171,8.4,10.7,0.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9
6,Paul Pierce,BOS,79,39.0,26.8,8.7,18.5,0.471,1.4,4.0,0.354,7.9,10.3,0.772,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8
7,Dirk Nowitzki,DAL,81,38.1,26.6,9.3,19.3,0.48,1.4,3.3,0.406,6.7,7.4,0.901,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0
8,Carmelo Anthony,DEN,80,36.8,26.5,9.5,19.7,0.481,0.5,1.9,0.243,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9
9,Michael Redd,MIL,80,39.1,25.4,8.5,19.0,0.45,2.0,5.2,0.395,6.3,7.1,0.877,1.0,3.3,4.3,2.9,1.2,0.1,2.1,2.0
10,Ray Allen,SEA,78,38.8,25.1,8.7,19.2,0.454,3.4,8.4,0.412,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9
11,Elton Brand,LAC,79,39.2,24.7,9.6,18.2,0.527,0.0,0.0,0.333,5.6,7.2,0.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9
12,Tracy McGrady,HOU,47,37.1,24.4,8.7,21.5,0.406,1.6,5.0,0.312,5.4,7.2,0.747,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9
13,Vince Carter,NJN,79,36.8,24.2,8.3,19.2,0.43,1.6,4.6,0.341,6.1,7.6,0.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0
14,Jason Richardson,GSW,75,38.4,23.2,8.5,19.2,0.446,2.4,6.4,0.384,3.7,5.5,0.673,1.4,4.4,5.8,3.1,1.3,0.5,2.2,2.7
15,Chris Bosh,TOR,70,39.3,22.5,7.8,15.5,0.505,0.0,0.2,0.0,6.8,8.3,0.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0
16,Yao Ming,HOU,57,34.2,22.3,8.2,15.8,0.519,0.0,0.0,0.0,5.9,6.9,0.853,2.6,7.6,10.2,1.5,0.5,1.6,2.6,3.4
17,Shawn Marion,PHX,81,40.3,21.8,8.8,16.9,0.525,1.2,3.6,0.331,3.0,3.7,0.809,3.1,8.8,11.8,1.8,2.0,1.7,1.5,2.8
18,Kevin Garnett,MIN,76,38.9,21.8,8.2,15.7,0.526,0.1,0.4,0.267,5.2,6.4,0.81,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7
19,Mike Bibby,SAC,82,38.6,21.1,7.3,16.9,0.432,2.3,6.1,0.386,4.2,4.9,0.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1
20,Antawn Jamison,WAS,82,40.1,20.5,8.0,18.2,0.442,1.8,4.5,0.394,2.6,3.6,0.731,2.0,7.3,9.3,1.9,1.1,0.1,1.7,2.3
21,Pau Gasol,MEM,80,39.2,20.4,7.5,14.9,0.503,0.0,0.2,0.25,5.3,7.7,0.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3
22,Mike James,TOR,79,37.0,20.3,7.3,15.5,0.469,2.1,4.8,0.442,3.6,4.3,0.837,0.6,2.7,3.3,5.8,0.9,0.0,2.6,2.7
23,Chris Webber,PHI,75,38.6,20.2,8.2,19.0,0.434,0.3,1.0,0.273,3.5,4.6,0.756,2.5,7.4,9.9,3.4,1.4,0.8,2.4,2.9
24,Joe Johnson,ATL,82,40.7,20.2,7.7,17.0,0.453,1.6,4.4,0.356,3.2,4.0,0.791,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3
25,Richard Hamilton,DET,80,35.3,20.1,8.1,16.5,0.491,0.7,1.5,0.458,3.2,3.8,0.845,1.1,2.2,3.2,3.4,0.7,0.2,2.2,2.6
26,Rashard Lewis,SEA,78,36.9,20.1,6.9,14.8,0.467,1.8,4.7,0.384,4.5,5.5,0.818,1.4,3.6,5.0,2.3,1.3,0.6,1.8,2.4
27,Jermaine O'Neal,IND,51,35.3,20.1,7.5,15.8,0.472,0.1,0.2,0.3,5.1,7.2,0.709,2.0,7.3,9.3,2.6,0.5,2.3,3.0,3.5
28,Shaquille O'Neal,MIA,59,30.6,20.0,8.1,13.6,0.6,0.0,0.0,0.0,3.7,8.0,0.469,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9
29,Richard Jefferson,NJN,78,39.2,19.5,6.3,12.9,0.493,0.8,2.4,0.319,6.0,7.4,0.812,1.2,5.6,6.8,3.8,0.8,0.2,2.2,2.5
30,Ricky Davis,MIN,78,41.1,19.4,7.5,16.7,0.448,0.9,3.1,0.302,3.5,4.4,0.797,0.8,3.7,4.5,5.1,1.2,0.2,2.7,2.4
31,Wally Szczerbiak,BOS,72,37.9,19.0,6.8,14.1,0.487,1.4,3.5,0.4,3.9,4.3,0.897,1.1,3.3,4.3,3.0,0.6,0.3,1.9,2.1
32,Tony Parker,SAS,80,33.9,18.9,7.8,14.2,0.548,0.1,0.5,0.306,3.2,4.5,0.707,0.5,2.8,3.3,5.8,1.0,0.1,3.1,2.0
33,Steve Nash,PHX,79,35.4,18.8,6.8,13.4,0.512,1.9,4.3,0.439,3.3,3.5,0.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5
34,Al Harrington,ATL,76,36.6,18.6,7.3,16.1,0.452,0.9,2.5,0.346,3.2,4.6,0.694,1.7,5.1,6.9,3.1,1.1,0.2,2.6,4.0
35,Tim Duncan,SAS,80,34.8,18.6,7.2,14.8,0.484,0.0,0.1,0.4,4.2,6.7,0.629,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7
36,Chauncey Billups,DET,81,36.1,18.5,5.2,12.5,0.418,2.3,5.2,0.433,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0
37,Peja Stojakovic,IND,71,36.6,18.2,6.3,14.3,0.437,2.3,5.7,0.401,3.4,3.7,0.915,1.1,4.7,5.8,1.9,0.6,0.1,1.5,2.4
38,Zach Randolph,POR,74,34.4,18.0,7.2,16.6,0.436,0.2,0.7,0.291,3.3,4.6,0.714,2.6,5.4,8.0,1.9,0.8,0.2,2.2,2.5
39,Mehmet Okur,UTA,82,35.9,18.0,6.3,13.8,0.46,1.0,2.9,0.342,4.3,5.5,0.78,2.6,6.5,9.1,2.4,0.5,0.9,2.0,3.5
40,Baron Davis,GSW,54,36.5,17.9,6.2,15.9,0.389,1.9,6.0,0.315,3.6,5.4,0.675,0.8,3.5,4.4,8.9,1.6,0.3,2.9,3.1
41,Corey Maggette,LAC,32,29.5,17.8,5.2,11.7,0.445,0.8,2.2,0.338,6.6,8.0,0.828,0.9,4.4,5.3,2.1,0.6,0.1,2.4,3.0
42,Caron Butler,WAS,75,36.1,17.6,6.6,14.5,0.455,0.5,1.6,0.342,3.9,4.4,0.87,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2
43,Metta World Peace,SAC,56,39.4,17.6,6.3,15.5,0.404,1.4,4.5,0.308,3.7,5.4,0.675,1.3,3.8,5.1,3.6,2.2,0.7,2.3,2.9
44,Sam Cassell,LAC,78,34.0,17.2,6.3,14.3,0.443,0.9,2.4,0.368,3.7,4.3,0.863,0.5,3.2,3.7,6.3,0.9,0.1,2.2,2.9
45,Jason Terry,DAL,80,35.0,17.1,6.5,13.7,0.47,2.1,5.2,0.411,2.1,2.6,0.8,0.4,1.6,2.0,3.8,1.3,0.3,1.7,2.5
46,David West,NOP,74,34.1,17.1,7.2,14.0,0.512,0.0,0.1,0.273,2.7,3.2,0.843,2.3,5.1,7.4,1.2,0.8,0.9,1.4,2.9
47,Ben Gordon,CHI,80,31.0,16.9,6.1,14.4,0.422,2.1,4.8,0.435,2.6,3.4,0.787,0.5,2.2,2.7,3.0,0.9,0.1,2.3,3.0
48,Morris Peterson,TOR,82,38.3,16.8,5.8,13.4,0.436,2.2,5.5,0.395,2.9,3.6,0.82,0.8,3.9,4.6,2.3,1.3,0.2,1.5,2.7
49,Stephen Jackson,IND,81,35.9,16.4,5.8,14.2,0.411,1.4,4.2,0.345,3.3,4.2,0.786,0.6,3.3,3.9,2.8,1.3,0.5,2.5,2.4
50,Stephon Marbury,NYK,60,36.6,16.3,5.8,12.9,0.451,0.6,1.7,0.317,4.1,5.4,0.755,0.4,2.5,2.9,6.4,1.1,0.1,2.6,2.4
51,Carlos Boozer,UTA,33,31.1,16.3,6.6,12.1,0.549,0.0,0.0,0.0,3.0,4.2,0.723,2.2,6.4,8.6,2.7,0.9,0.2,2.1,3.2
