Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Tariq Abdul-Wahad,SF,6-6,223,27,"DAL, DEN",24,4,San Jose State,1997 Rnd 1 Pick 11,France
Shareef Abdur-Rahim,F,6-9,225,25,ATL,77,5,California,1996 Rnd 1 Pick 3,United States
Courtney Alexander,SG,6-5,205,24,WAS,56,1,Fresno State,2000 Rnd 1 Pick 13,United States
Victor Alexander,PF,6-9,265,32,DET,15,5,Iowa State,1991 Rnd 1 Pick 17,United States
Malik Allen,F,6-10,255,23,MIA,12,1,Villanova,"2000 NBA Draft, Undrafted",United States
Ray Allen,SG,6-5,205,26,MIL,69,5,Connecticut,1996 Rnd 1 Pick 5,United States
Rafer Alston,G,6-2,175,25,MIL,50,2,Fresno State,1998 Rnd 2 Pick 10,United States
John Amaechi,C,6-10,270,31,UTA,54,3,Penn State,"1995 NBA Draft, Undrafted",United States
Chris Andersen,FC,6-10,245,23,DEN,24,0,Blinn,"1999 NBA Draft, Undrafted",United States
Derek Anderson,G,6-5,194,27,POR,70,4,Kentucky,1997 Rnd 1 Pick 13,United States
Kenny Anderson,PG,6-0,168,31,BOS,76,10,Georgia Tech,1991 Rnd 1 Pick 2,United States
Nick Anderson,GF,6-6,228,34,MEM,15,12,Illinois,1989 Rnd 1 Pick 11,United States
Shandon Anderson,GF,6-6,208,28,NYK,82,5,Georgia,1996 Rnd 2 Pick 25,United States
Greg Anthony,PG,6-0,176,34,"CHI, MIL",60,10,UNLV,1991 Rnd 1 Pick 12,United States
Gilbert Arenas,G,6-3,191,20,GSW,47,0,Arizona,2001 Rnd 2 Pick 2,United States
Brandon Armstrong,SG,6-5,185,21,NJN,35,0,Pepperdine,2001 Rnd 1 Pick 23,United States
Darrell Armstrong,PG,6-0,170,33,ORL,82,7,Fayetteville State,"1991 NBA Draft, Undrafted",United States
Carlos Arroyo,PG,6-2,202,22,"DEN, TOR",37,0,Florida International,"2001 NBA Draft, Undrafted",Puerto Rico United States
Chucky Atkins,G,5-11,185,27,DET,79,3,South Florida,"1996 NBA Draft, Undrafted",United States
Stacey Augmon,SF,6-6,205,33,CHA,77,10,UNLV,1991 Rnd 1 Pick 9,United States
Ike Austin,C,6-10,255,32,MEM,21,8,Arizona State,1991 Rnd 2 Pick 21,United States
William Avery,PG,6-2,197,22,MIN,28,2,Duke,1999 Rnd 1 Pick 14,United States
Dalibor Bagaric,C,7-1,255,22,CHI,50,1,KK Dubrava Zagreb (Croatia),2000 Rnd 1 Pick 24,Croatia
Vin Baker,PF,6-11,240,30,SEA,55,8,Hartford,1993 Rnd 1 Pick 8,United States
Erick Barkley,PG,6-1,177,24,POR,19,1,St. John's,2000 Rnd 1 Pick 28,United States
Dana Barros,PG,5-11,165,34,DET,29,12,Boston College,1989 Rnd 1 Pick 16,United States
Brent Barry,G,6-7,210,30,SEA,81,6,Oregon State,1995 Rnd 1 Pick 15,United States
Jon Barry,SG,6-4,195,32,DET,82,9,Georgia Tech,1992 Rnd 1 Pick 21,United States
