#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Kevin Durant,OKC,66,38.6,0.7,0.3,0.5,0.496,0.1,0.1,0.387,0.2,0.2,0.86,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
2,Kobe Bryant,LAL,58,38.5,0.7,0.3,0.6,0.43,0.0,0.1,0.303,0.2,0.2,0.845,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0
3,LeBron James,MIA,62,37.5,0.7,0.3,0.5,0.531,0.0,0.1,0.362,0.2,0.2,0.771,0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.0
4,Brook Lopez,NJN,5,27.2,0.7,0.3,0.6,0.494,0.0,0.0,0.0,0.1,0.2,0.625,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1
5,Russell Westbrook,OKC,66,35.3,0.7,0.2,0.5,0.457,0.0,0.1,0.316,0.1,0.2,0.823,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
6,Kevin Love,MIN,55,39.0,0.7,0.2,0.5,0.448,0.0,0.1,0.372,0.2,0.2,0.824,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1
7,Dwyane Wade,MIA,49,33.2,0.7,0.3,0.5,0.497,0.0,0.0,0.268,0.1,0.2,0.791,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1
8,Carmelo Anthony,NYK,55,34.1,0.7,0.2,0.5,0.43,0.0,0.1,0.335,0.2,0.2,0.804,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1
9,Dirk Nowitzki,DAL,62,33.5,0.6,0.2,0.5,0.457,0.0,0.1,0.368,0.2,0.2,0.896,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1
10,Patty Mills,SAS,16,16.3,0.6,0.2,0.5,0.485,0.1,0.2,0.429,0.1,0.1,1.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
11,Derrick Rose,CHI,39,35.2,0.6,0.2,0.5,0.435,0.0,0.1,0.312,0.1,0.2,0.812,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0
12,Kyrie Irving,CLE,51,30.5,0.6,0.2,0.5,0.469,0.0,0.1,0.399,0.1,0.1,0.872,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
13,LaMarcus Aldridge,POR,55,36.3,0.6,0.2,0.5,0.512,0.0,0.0,0.182,0.1,0.1,0.814,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1
14,Eric Gordon,NOP,9,34.5,0.6,0.2,0.5,0.45,0.0,0.1,0.25,0.2,0.2,0.754,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1
