#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Kobe Bryant,LAL,80,3276.6,2832,978,2173,0.45,180,518,0.347,696,819,0.85,71,354,425,360,147,30,250,233
2,LeBron James,CLE,79,3361.3,2478,875,1823,0.48,127,379,0.335,601,814,0.738,75,481,556,521,123,66,260,181
3,Allen Iverson,PHI,72,3103.5,2377,815,1822,0.447,72,223,0.323,675,829,0.814,44,188,232,532,140,10,248,121
4,Gilbert Arenas,WAS,80,3384.3,2346,746,1668,0.447,199,540,0.369,655,799,0.82,59,221,280,484,161,25,297,286
5,Dirk Nowitzki,DAL,81,3089.2,2151,751,1564,0.48,110,271,0.406,539,598,0.901,115,613,728,226,58,83,156,164
6,Carmelo Anthony,DEN,80,2940.1,2122,756,1572,0.481,37,152,0.243,573,709,0.808,122,272,394,216,88,42,218,229
7,Paul Pierce,BOS,79,3084.5,2116,689,1462,0.471,111,314,0.354,627,812,0.772,77,453,530,375,107,34,273,223
8,Dwyane Wade,MIA,75,2892.7,2040,699,1413,0.495,13,76,0.171,629,803,0.783,107,323,430,503,146,58,268,217
9,Michael Redd,MIL,80,3130.1,2028,682,1516,0.45,163,413,0.395,501,571,0.877,78,264,342,229,95,5,170,157
10,Ray Allen,SEA,78,3022.5,1955,681,1500,0.454,269,653,0.412,324,359,0.903,71,261,332,286,105,16,188,151
11,Elton Brand,LAC,79,3098.7,1953,756,1435,0.527,1,3,0.333,440,568,0.775,236,554,790,208,81,201,173,227
12,Vince Carter,NJN,79,2906.7,1911,653,1518,0.43,125,367,0.341,480,601,0.799,135,327,462,338,94,53,213,235
13,Shawn Marion,PHX,81,3263.7,1769,716,1365,0.525,96,290,0.331,241,298,0.809,249,710,959,143,160,137,125,223
14,Jason Richardson,GSW,75,2877.3,1741,641,1438,0.446,183,477,0.384,276,410,0.673,105,333,438,232,97,37,167,206
15,Mike Bibby,SAC,82,3166.8,1728,597,1382,0.432,192,497,0.386,342,403,0.849,29,211,240,444,82,10,199,169
16,Antawn Jamison,WAS,82,3288.1,1684,660,1494,0.442,147,373,0.394,217,297,0.731,167,598,765,158,90,12,137,189
17,Kevin Garnett,MIN,76,2956.7,1656,626,1191,0.526,8,30,0.267,396,489,0.81,214,752,966,308,104,107,180,206
18,Joe Johnson,ATL,82,3340.5,1653,632,1395,0.453,128,360,0.356,261,330,0.791,98,237,335,536,103,31,267,187
